,Unnamed: 0,dock_id,dock_name,month,num_day,hour,latitude,longitude,avail_bikes,tot_docks,avail_bikes_proportion,tmp,rain,weekday_cluster,weekend_cluster
121,178469,3103,N 11 St & Wythe Ave,5,3,20,40.72153267,-73.95782357,11,27,0.4074074074074073,26.1,0,2,3
122,1577857,3105,N 15 St & Wythe Ave,12,3,12,40.724055,-73.955736,10,24,0.4166666666666666,-0.6,0,0,2
123,1178108,3109,Banker St & Meserole Ave,11,1,12,40.72606,-73.95621,19,31,0.6129032258064516,4.4,0,1,0
124,2676357,3112,Milton St & Franklin St,7,5,4,40.72905999282722,-73.95779000818777,4,33,0.1212121212121212,22.8,1,2,3
125,1381250,3116,Huron St & Franklin St,6,7,21,40.73266,-73.95826,9,45,0.2,28.3,0,1,2
126,1714091,3117,Franklin St & Dupont St,5,2,13,40.73564001969587,-73.95866000492394,9,27,0.3333333333333333,14.4,0,1,0
127,1908901,3120,Center Blvd & Borden Ave,8,6,12,40.74161,-73.96044,0,20,0.0,27.8,0,2,0
128,1223716,3121,Jackson Ave & 46 Rd,10,6,7,40.74524768,-73.94733276,4,27,0.1481481481481481,17.8,1,2,3
129,2234464,3122,48 Ave & 5 St,9,7,12,40.744363241575456,-73.95587325519078,6,31,0.1935483870967741,20.6,0,2,0
130,880759,3123,31 St & Thomson Ave,9,7,11,40.744697437987,-73.93540373202681,5,27,0.1851851851851851,20.0,0,2,3
131,2294808,3124,46 Ave & 5 St,10,6,8,40.74731,-73.95451,2,27,0.074074074074074,16.7,1,4,0
132,1633630,3126,44 Dr & Jackson Ave,4,2,18,40.74718232360252,-73.94326351021425,10,34,0.2941176470588235,15.6,0,2,2
133,1588162,3127,9 St & 44 Rd,5,7,3,40.74966,-73.9521,32,35,0.914285714285714,13.3,0,2,3
134,799966,3128,21 St & 43 Ave,4,3,2,40.75052534,-73.94594845,10,23,0.4347826086956521,10.6,0,2,0
135,1098875,3130,21 St & Queens Plaza North,10,6,8,40.75325964,-73.94335788,1,31,0.032258064516129,16.7,1,2,2
136,1727614,3131,E 68 St & 3 Ave,10,6,8,40.76712840349542,-73.96224617958067,4,31,0.1290322580645161,16.7,1,0,1
137,420715,3132,E 59 St & Madison Ave,12,3,20,40.7635053236996,-73.97109242930873,1,35,0.0285714285714285,3.9,0,5,1
138,1848601,3134,3 Ave & E 62 St,5,2,13,40.76312584,-73.96526895,5,51,0.0980392156862745,14.4,0,0,1
139,647700,3135,E 75 St & 3 Ave,9,7,11,40.77112927,-73.95772297,5,41,0.1219512195121951,20.0,0,1,2
140,148194,3136,5 Ave & E 63 St,8,1,12,40.76638608305471,-73.97151242713488,2,47,0.0425531914893617,26.1,0,2,3
141,897153,3137,5 Ave & E 73 St,9,6,19,40.77282817194925,-73.96685277301444,4,31,0.1290322580645161,21.7,0,0,3
142,1352089,3139,E 72 St & Park Ave,9,7,12,40.771184738234325,-73.96410361628477,37,43,0.8604651162790697,20.6,0,0,2
143,1292100,3140,1 Ave & E 78 St,10,4,1,40.771404248005965,-73.95351659558764,53,55,0.9636363636363636,10.0,0,4,0
144,1348548,3141,1 Ave & E 68 St,11,5,16,40.76500524724615,-73.9581849122329,1,59,0.0169491525423728,20.6,0,5,1
145,1456800,3146,E 81 St & 3 Ave,12,4,6,40.77573034,-73.9567526,18,47,0.3829787234042553,-1.1,0,1,2
146,269208,3147,E 85 St & 3 Ave,8,3,22,40.778012052339136,-73.9540714657724,20,39,0.5128205128205127,22.8,0,1,0
147,562534,3148,E 84 St & 1 Ave,10,3,7,40.77565541291816,-73.95068614418935,11,31,0.3548387096774193,18.9,0,4,0
148,2839581,3153,E 71 St & 2 Ave,8,6,11,40.768175467422445,-73.95910263061523,0,37,0.0,26.7,0,0,1
149,2362905,3156,E 72 St & York Ave,5,4,11,40.766638141892166,-73.95348295747458,17,39,0.4358974358974359,20.6,0,0,2
150,1329351,3158,W 63 St & Broadway,10,3,16,40.77163852214548,-73.98261428344092,0,31,0.0,10.6,0,0,2
151,1731646,3161,W 76 St & Columbus Ave,5,4,23,40.7801839642592,-73.97728532355958,32,59,0.5423728813559322,14.4,1,1,2
152,338919,3162,W 78 St & Broadway,10,7,7,40.78339981,-73.98093133,6,39,0.1538461538461538,17.8,0,1,2
153,2298344,3163,Central Park West & W 68 St,5,3,12,40.7734066,-73.97782542,11,43,0.2558139534883721,13.9,0,0,3
154,2071599,3164,Columbus Ave & W 72 St,7,6,23,40.77705749649424,-73.9789847533657,12,67,0.1791044776119402,25.0,0,1,2
155,2810662,3165,Central Park West & W 72 St,8,4,19,40.775793063619005,-73.97620285768829,17,51,0.3333333333333333,31.1,0,1,0
