station_name,latitude,longitude,station_start_year,rollout_cluster
E 11 St & 1 Ave,40.72953837,-73.98426726,2013-01-01T00:00:00,1
E 55 St & 2 Ave,40.75797322,-73.96603308,2013-01-01T00:00:00,1
Cliff St & Fulton St,40.70823502,-74.00530063,2013-01-01T00:00:00,1
South End Ave & Liberty St,40.711512,-74.015756,2013-01-01T00:00:00,1
Broadway & E 22 St,40.7403432,-73.98955109,2013-01-01T00:00:00,1
York St & Jay St,40.7014851,-73.98656928,2013-01-01T00:00:00,1
Canal St & Rutgers St,40.71427487,-73.98990025,2013-01-01T00:00:00,1
E 32 St & Park Ave,40.7457121,-73.983,2013-01-01T00:00:00,1
Pershing Square South,40.751581,-73.97791,2013-01-01T00:00:00,1
Avenue D & E 8 St,40.72368361,-73.975767,2013-01-01T00:00:00,1
Park Ave & St Edwards St,40.69608941,-73.97803415,2013-01-01T00:00:00,1
Allen St & Hester St,40.716,-73.992,2013-01-01T00:00:00,1
E 20 St & 2 Ave,40.73587678,-73.983,2013-01-01T00:00:00,1
W 56 St & 10 Ave,40.767,-73.989,2013-01-01T00:00:00,1
Washington Ave & Park Ave,40.69610226,-73.96751037,2013-01-01T00:00:00,1
Lafayette St & Jersey St N,40.72456089,-73.99565293,2013-01-01T00:00:00,1
Pershing Square North,40.751873,-73.977706,2013-01-01T00:00:00,1
Shevchenko Pl & E 7 St,40.728145,-73.990214,2013-01-01T00:00:00,1
Barclay St & Church St,40.71291224,-74.01020234,2013-01-01T00:00:00,1
W 18 St & 6 Ave,40.73971301,-73.99456405,2013-01-01T00:00:00,1
E 16 St & Irving Pl,40.734,-73.989,2013-01-01T00:00:00,1
E 52 St & 2 Ave,40.756014,-73.967416,2013-01-01T00:00:00,1
E 19 St & 3 Ave,40.73624527,-73.98473765,2013-01-01T00:00:00,1
Franklin St & W Broadway,40.719,-74.007,2013-01-01T00:00:00,1
W 14 St & The High Line,40.74195138,-74.00803013,2013-01-01T00:00:00,1
W 22 St & 8 Ave,40.74475148,-73.99915362,2013-01-01T00:00:00,1
Greenwich Ave & Charles St,40.735238,-74.000271,2013-01-01T00:00:00,1
W 25 St & 6 Ave,40.74395411,-73.99144871,2013-01-01T00:00:00,1
Columbia Heights & Cranberry St,40.70037867,-73.99548059,2013-01-01T00:00:00,1
W 37 St & 5 Ave,40.749,-73.98338988,2013-01-01T00:00:00,1
6 Ave & W 33 St,40.749,-73.989,2013-01-01T00:00:00,1
University Pl & E 14 St,40.734,-73.992085,2013-01-01T00:00:00,1
Fulton St & Rockwell Pl,40.687979,-73.979458,2013-01-01T00:00:00,1
E 9 St & Avenue C,40.72521311,-73.97768752,2013-01-01T00:00:00,1
Henry St & Grand St,40.714211,-73.981346,2013-01-01T00:00:00,1
John St & William St,40.70862144,-74.00722156,2013-01-01T00:00:00,1
W 47 St & 10 Ave,40.76269882,-73.99301222,2013-01-01T00:00:00,1
W 52 St & 9 Ave,40.76461837,-73.98789473,2013-01-01T00:00:00,1
W 24 St & 7 Ave,40.74487634,-73.99529885,2013-01-01T00:00:00,1
