,station_name,latitude,longitude,station_start_year,rollout_cluster
131,W 29 St & 9 Ave,40.7500727,-73.99839279,2013-01-01T00:00:00,2013
132,E 48 St & 3 Ave,40.7546011,-73.97187886,2013-01-01T00:00:00,2013
133,State St,40.70251526,-74.01427023,2013-01-01T00:00:00,2013
134,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,2013-01-01T00:00:00,2013
135,MacDougal St & Prince St,40.72710258,-74.00297088,2013-01-01T00:00:00,2013
136,S 5 Pl & S 5 St,40.710451,-73.960876,2013-01-01T00:00:00,2013
137,W 21 St & 6 Ave,40.74173969,-73.995,2013-01-01T00:00:00,2013
138,11 Ave & W 41 St,40.76030096,-73.99884222,2013-01-01T00:00:00,2013
139,DeKalb Ave & Skillman St,40.6906495,-73.95643107,2013-01-01T00:00:00,2013
140,E 25 St & 2 Ave,40.73912601,-73.98,2013-01-01T00:00:00,2013
141,Jay St & Tech Pl,40.695065,-73.987167,2013-01-01T00:00:00,2013
142,Fulton St & Washington Ave,40.683048,-73.964915,2013-01-01T00:00:00,2013
143,Broadway & W 49 St,40.76064679,-73.986,2013-01-01T00:00:00,2013
144,E 51 St & Lexington Ave,40.75714758,-73.97207836,2013-01-01T00:00:00,2013
145,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,2013-01-01T00:00:00,2013
146,NYCBS Test,40.6466068,-74.01597,2013-01-01T00:00:00,2013
147,12 Ave & W 40 St,40.76087502,-74.004,2013-01-01T00:00:00,2013
148,8 Ave & W 31 St N,40.75096734871598,-73.99444207549094,2013-01-01T00:00:00,2013
149,Monroe St & Classon Ave,40.6845683,-73.95881081,2013-01-01T00:00:00,2013
150,3 Ave & Schermerhorn St,40.68683208,-73.9796772,2013-01-01T00:00:00,2013
151,Bedford Ave & S 9 St,40.70853074,-73.96408963,2013-01-01T00:00:00,2013
152,Ashland Pl & Hanson Pl,40.68522671947255,-73.97805813,2013-01-01T00:00:00,2013
153,Broad St & Bridge St,40.70365182,-74.013,2013-01-01T00:00:00,2013
154,E 47 St & 2 Ave,40.75323098,-73.97032517,2013-01-01T00:00:00,2013
155,E 30 St & Park Ave S,40.743,-73.98303529,2013-01-01T00:00:00,2013
156,Greenwich St & North Moore St,40.720152270232845,-74.01036500930786,2013-01-01T00:00:00,2013
157,Maiden Ln & Pearl St,40.70706456,-74.00731853,2013-01-01T00:00:00,2013
158,Warren St & Church St,40.71473993,-74.00910627,2013-01-01T00:00:00,2013
159,Howard St & Centre St,40.719,-74.001,2013-01-01T00:00:00,2013
160,West Thames St,40.70834698,-74.01713445,2013-01-01T00:00:00,2013
161,E 56 St & 3 Ave,40.75934501,-73.96759673,2013-01-01T00:00:00,2013
162,E 45 St & 3 Ave,40.752,-73.974,2013-01-01T00:00:00,2013
163,Front St & Gold St,40.70224,-73.982578,2013-01-01T00:00:00,2013
164,E 6 St & Avenue D,40.722,-73.977,2013-01-01T00:00:00,2013
165,Barrow St & Hudson St,40.73172428,-74.00674436,2013-01-01T00:00:00,2013
166,E 11 St & 2 Ave,40.73047309,-73.98672378,2013-01-01T00:00:00,2013
167,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,2013-01-01T00:00:00,2013
